
--- Summary for  Sizing at 2 ---

--- Top 30 Win/Loss Data ---
Player ID: 2, Win/Loss: 70928, Bid Count: 240263, Rate 1: 1, Rate 2: 2
Player ID: 2, Win/Loss: 69515, Bid Count: 223286, Rate 1: 1, Rate 2: 3
Player ID: 2, Win/Loss: 68772, Bid Count: 289838, Rate 1: 1, Rate 2: 1
Player ID: 2, Win/Loss: 67162, Bid Count: 214954, Rate 1: 1, Rate 2: 4
Player ID: 2, Win/Loss: 64628, Bid Count: 209869, Rate 1: 1, Rate 2: 5
Player ID: 2, Win/Loss: 63930, Bid Count: 246578, Rate 1: 2, Rate 2: 3
Player ID: 2, Win/Loss: 63134, Bid Count: 229685, Rate 1: 2, Rate 2: 4
Player ID: 2, Win/Loss: 63094, Bid Count: 280243, Rate 1: 2, Rate 2: 2
Player ID: 2, Win/Loss: 61943, Bid Count: 206615, Rate 1: 1, Rate 2: 6
Player ID: 2, Win/Loss: 61320, Bid Count: 219845, Rate 1: 2, Rate 2: 5
Player ID: 2, Win/Loss: 59682, Bid Count: 213331, Rate 1: 2, Rate 2: 6
Player ID: 2, Win/Loss: 59247, Bid Count: 204289, Rate 1: 1, Rate 2: 7
Player ID: 2, Win/Loss: 58523, Bid Count: 244819, Rate 1: 3, Rate 2: 4
Player ID: 2, Win/Loss: 58424, Bid Count: 270004, Rate 1: 3, Rate 2: 3
Player ID: 2, Win/Loss: 57876, Bid Count: 230146, Rate 1: 3, Rate 2: 5
Player ID: 2, Win/Loss: 57566, Bid Count: 208428, Rate 1: 2, Rate 2: 7
Player ID: 2, Win/Loss: 56890, Bid Count: 219913, Rate 1: 3, Rate 2: 6
Player ID: 2, Win/Loss: 56864, Bid Count: 202436, Rate 1: 1, Rate 2: 8
Player ID: 2, Win/Loss: 56196, Bid Count: 379882, Rate 1: 2, Rate 2: 1
Player ID: 2, Win/Loss: 55961, Bid Count: 212947, Rate 1: 3, Rate 2: 7
Player ID: 2, Win/Loss: 55653, Bid Count: 319700, Rate 1: 3, Rate 2: 2
Player ID: 2, Win/Loss: 55491, Bid Count: 205006, Rate 1: 2, Rate 2: 8
Player ID: 2, Win/Loss: 54563, Bid Count: 240452, Rate 1: 4, Rate 2: 5
Player ID: 2, Win/Loss: 54277, Bid Count: 207562, Rate 1: 3, Rate 2: 8
Player ID: 2, Win/Loss: 54270, Bid Count: 226482, Rate 1: 4, Rate 2: 6
Player ID: 2, Win/Loss: 54223, Bid Count: 260701, Rate 1: 4, Rate 2: 4
Player ID: 2, Win/Loss: 54136, Bid Count: 201110, Rate 1: 1, Rate 2: 9
Player ID: 2, Win/Loss: 54061, Bid Count: 217027, Rate 1: 4, Rate 2: 7
Player ID: 2, Win/Loss: 53380, Bid Count: 202247, Rate 1: 2, Rate 2: 9
Player ID: 2, Win/Loss: 53070, Bid Count: 210067, Rate 1: 4, Rate 2: 8

Total Winning Rounds in Top 30: 1774779

Data cleared for the next sizing loop.

--- Summary for  Sizing at 3 ---

--- Top 30 Win/Loss Data ---
Player ID: 2, Win/Loss: 67694, Bid Count: 182270, Rate 1: 1, Rate 2: 9
Player ID: 2, Win/Loss: 67558, Bid Count: 182045, Rate 1: 2, Rate 2: 9
Player ID: 2, Win/Loss: 67495, Bid Count: 183120, Rate 1: 5, Rate 2: 9
Player ID: 2, Win/Loss: 67393, Bid Count: 183351, Rate 1: 7, Rate 2: 9
Player ID: 2, Win/Loss: 67318, Bid Count: 182862, Rate 1: 4, Rate 2: 9
Player ID: 2, Win/Loss: 67200, Bid Count: 182879, Rate 1: 6, Rate 2: 9
Player ID: 2, Win/Loss: 67186, Bid Count: 182411, Rate 1: 3, Rate 2: 9
Player ID: 2, Win/Loss: 67041, Bid Count: 183166, Rate 1: 8, Rate 2: 9
Player ID: 2, Win/Loss: 66998, Bid Count: 183434, Rate 1: 9, Rate 2: 9
Player ID: 2, Win/Loss: 62330, Bid Count: 168425, Rate 1: 2, Rate 2: 8
Player ID: 2, Win/Loss: 62329, Bid Count: 169148, Rate 1: 3, Rate 2: 8
Player ID: 2, Win/Loss: 62289, Bid Count: 167411, Rate 1: 1, Rate 2: 8
Player ID: 2, Win/Loss: 61859, Bid Count: 169299, Rate 1: 4, Rate 2: 8
Player ID: 2, Win/Loss: 61775, Bid Count: 170190, Rate 1: 5, Rate 2: 8
